srr_id,aws_available,files
SRR12596165,True,SRR12596165
SRR12596166,True,SRR12596166
SRR12596167,True,SRR12596167
SRR12596168,True,SRR12596168
SRR12596169,True,SRR12596169
SRR12596170,True,SRR12596170
SRR12596171,True,SRR12596171
SRR12596172,True,SRR12596172
SR12596173,False,N/A
SRR12596174,True,SRR12596174
SRR12596175,True,SRR12596175
SRR23998353,True,SRR23998353
SRR23998354,True,SRR23998354
SRR23998355,True,SRR23998355
SRR23998356,True,SRR23998356
SRR23998357,True,SRR23998357
SRR23998358,True,SRR23998358
SRR23998359,True,SRR23998359
